molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,angle_bin,dist_bin,overlap_bin
mol_652,0,53.83732481692001,4.652622334588381,0.0,9.594654974906602,8.391097037884222,-118.0130100755005,178.65571725427128,135.18306,interplane_distance unreliable at angle 53.8 deg (>50 deg),0.0,monomer,40-60,4.2-5.0,0-10%
mol_653,0,55.85904942198714,6.126525555735043,0.0,8.530299963365884,5.93562988063823,-118.61876342652978,-179.9586285625646,135.30754,interplane_distance unreliable at angle 55.9 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,0-10%
mol_654,0,75.9253176763766,6.347641696888421,14.638698613303568,7.9663538355071815,4.813547373863008,-118.20006932500375,179.8849741225702,135.79311,interplane_distance unreliable at angle 75.9 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,10-25%
mol_655,0,67.42347990556193,1.372996253290735,0.04537145572861035,8.449331814705824,8.337031210415947,-117.75745354317822,-179.03753032974078,135.79913,"interplane_distance unreliable at angle 67.4 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_656,0,54.25978286290794,5.745012367698621,55.442166080245904,6.349810332600494,2.704611645872634,-115.4344834035189,-179.1682019723936,136.79863,interplane_distance unreliable at angle 54.3 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,50-70%
mol_657,0,69.00159703303855,7.229485132576921,10.566287075172074,7.392369204794902,1.5432651029065834,-117.19709003103887,-179.3293893808267,137.61797,interplane_distance unreliable at angle 69.0 deg (>50 deg),0.0,monomer,60-80,>7.0,10-25%
mol_658,0,10.364169452073025,8.598542507703655,37.89313590360785,9.287872480148506,3.511358989154099,-116.76575537324892,179.9211347148461,138.04355,,0.0,monomer,0-20,>7.0,25-40%
mol_659,0,31.69531983856812,8.103327879554527,3.7096382631118976,10.831038445481576,7.186617499487106,-118.15504104707246,178.80197758690196,138.18307,,0.0,monomer,20-40,>7.0,0-10%
mol_660,0,76.48899221734138,0.2727987210751741,0.0,11.232925541126852,11.229612507574771,-117.41045186095313,177.77062577057356,138.24365,"interplane_distance unreliable at angle 76.5 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_661,0,71.65812768508005,6.856728984095606,8.580033140283424,9.559551458619802,6.661102891313361,-117.19749148468765,-179.86905571089534,138.45625,interplane_distance unreliable at angle 71.7 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_662,0,67.88516816391152,2.215733142960406,0.0,8.686347846477252,8.398997889581043,-123.5434727112785,179.50877066442206,131.4738,interplane_distance unreliable at angle 67.9 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_663,0,81.16115053378374,1.4329106942226246,11.015212643721378,7.1731858283122705,7.028610237442566,-121.44687474828608,-179.7553004595377,134.47029,"interplane_distance unreliable at angle 81.2 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,80-90,<3.0,10-25%
